"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Andover School District","","2011-2012","Kindergarten","Percent","Suspensions","-6666"
"Andover School District","","2011-2012","Grade 1","Percent","Suspensions","-6666"
"Andover School District","","2011-2012","Grade 2","Percent","Suspensions","-6666"
"Andover School District","","2011-2012","Grade 3","Percent","Suspensions","-9999"
"Andover School District","","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Andover School District","","2011-2012","Grade 5","Percent","Suspensions","-6666"
"Andover School District","","2011-2012","Grade 6","Percent","Suspensions","-6666"
"Andover School District","","2011-2012","Grade 7","Percent","Suspensions","0"
"Andover School District","","2011-2012","Grade 8","Percent","Suspensions","0"
"Andover School District","","2011-2012","Grade 9","Percent","Suspensions","0"
"Andover School District","","2011-2012","Grade 10","Percent","Suspensions","0"
"Andover School District","","2011-2012","Grade 11","Percent","Suspensions","0"
"Andover School District","","2011-2012","Grade 12","Percent","Suspensions","0"
"Andover School District","","2012-2013","Kindergarten","Percent","Suspensions","-6666"
"Andover School District","","2012-2013","Grade 1","Percent","Suspensions","-9999"
"Andover School District","","2012-2013","Grade 2","Percent","Suspensions","-6666"
"Andover School District","","2012-2013","Grade 3","Percent","Suspensions","-6666"
"Andover School District","","2012-2013","Grade 4","Percent","Suspensions","-6666"
"Andover School District","","2012-2013","Grade 5","Percent","Suspensions","-9999"
"Andover School District","","2012-2013","Grade 6","Percent","Suspensions","-9999"
"Andover School District","","2012-2013","Grade 7","Percent","Suspensions","0"
"Andover School District","","2012-2013","Grade 8","Percent","Suspensions","0"
"Andover School District","","2012-2013","Grade 9","Percent","Suspensions","0"
"Andover School District","","2012-2013","Grade 10","Percent","Suspensions","0"
"Andover School District","","2012-2013","Grade 11","Percent","Suspensions","0"
"Andover School District","","2012-2013","Grade 12","Percent","Suspensions","0"
"Andover School District","","2013-2014","Kindergarten","Percent","Suspensions","-9999"
"Andover School District","","2013-2014","Grade 1","Percent","Suspensions","-6666"
"Andover School District","","2013-2014","Grade 2","Percent","Suspensions","-9999"
"Andover School District","","2013-2014","Grade 3","Percent","Suspensions","-6666"
"Andover School District","","2013-2014","Grade 4","Percent","Suspensions","-6666"
"Andover School District","","2013-2014","Grade 5","Percent","Suspensions","-6666"
"Andover School District","","2013-2014","Grade 6","Percent","Suspensions","-9999"
"Andover School District","","2013-2014","Grade 7","Percent","Suspensions","0"
"Andover School District","","2013-2014","Grade 8","Percent","Suspensions","0"
"Andover School District","","2013-2014","Grade 9","Percent","Suspensions","0"
"Andover School District","","2013-2014","Grade 10","Percent","Suspensions","0"
"Andover School District","","2013-2014","Grade 11","Percent","Suspensions","0"
"Andover School District","","2013-2014","Grade 12","Percent","Suspensions","0"
"Andover School District","","2014-2015","Kindergarten","Percent","Suspensions","-6666"
"Andover School District","","2014-2015","Grade 1","Percent","Suspensions","-9999"
"Andover School District","","2014-2015","Grade 2","Percent","Suspensions","-6666"
"Andover School District","","2014-2015","Grade 3","Percent","Suspensions","-6666"
"Andover School District","","2014-2015","Grade 4","Percent","Suspensions","-6666"
"Andover School District","","2014-2015","Grade 5","Percent","Suspensions","-9999"
"Andover School District","","2014-2015","Grade 6","Percent","Suspensions","-6666"
"Andover School District","","2014-2015","Grade 7","Percent","Suspensions","0"
"Andover School District","","2014-2015","Grade 8","Percent","Suspensions","0"
"Andover School District","","2014-2015","Grade 9","Percent","Suspensions","0"
"Andover School District","","2014-2015","Grade 10","Percent","Suspensions","0"
"Andover School District","","2014-2015","Grade 11","Percent","Suspensions","0"
"Andover School District","","2014-2015","Grade 12","Percent","Suspensions","0"
"Andover School District","","2015-2016","Kindergarten","Percent","Suspensions","-6666"
"Andover School District","","2015-2016","Grade 1","Percent","Suspensions","-6666"
"Andover School District","","2015-2016","Grade 2","Percent","Suspensions","-9999"
"Andover School District","","2015-2016","Grade 3","Percent","Suspensions","-6666"
"Andover School District","","2015-2016","Grade 4","Percent","Suspensions","-6666"
"Andover School District","","2015-2016","Grade 5","Percent","Suspensions","-9999"
"Andover School District","","2015-2016","Grade 6","Percent","Suspensions","-9999"
"Andover School District","","2015-2016","Grade 7","Percent","Suspensions","0"
"Andover School District","","2015-2016","Grade 8","Percent","Suspensions","0"
"Andover School District","","2015-2016","Grade 9","Percent","Suspensions","0"
"Andover School District","","2015-2016","Grade 10","Percent","Suspensions","0"
"Andover School District","","2015-2016","Grade 11","Percent","Suspensions","0"
"Andover School District","","2015-2016","Grade 12","Percent","Suspensions","0"
"Andover School District","","2016-2017","Kindergarten","Percent","Suspensions","-9999"
"Andover School District","","2016-2017","Grade 1","Percent","Suspensions","-6666"
"Andover School District","","2016-2017","Grade 2","Percent","Suspensions","-6666"
"Andover School District","","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Andover School District","","2016-2017","Grade 4","Percent","Suspensions","-6666"
"Andover School District","","2016-2017","Grade 5","Percent","Suspensions","-6666"
"Andover School District","","2016-2017","Grade 6","Percent","Suspensions","-6666"
"Andover School District","","2016-2017","Grade 7","Percent","Suspensions","0"
"Andover School District","","2016-2017","Grade 8","Percent","Suspensions","0"
"Andover School District","","2016-2017","Grade 9","Percent","Suspensions","0"
"Andover School District","","2016-2017","Grade 10","Percent","Suspensions","0"
"Andover School District","","2016-2017","Grade 11","Percent","Suspensions","0"
"Andover School District","","2016-2017","Grade 12","Percent","Suspensions","0"
"Ansonia School District","900901220","2009-2010","Kindergarten","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2009-2010","Grade 1","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2009-2010","Grade 2","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2009-2010","Grade 3","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2009-2010","Grade 4","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2009-2010","Grade 5","Percent","Suspensions","4.6"
"Ansonia School District","900901220","2009-2010","Grade 6","Percent","Suspensions","5.0"
"Ansonia School District","900901220","2009-2010","Grade 7","Percent","Suspensions","11.8"
"Ansonia School District","900901220","2009-2010","Grade 8","Percent","Suspensions","13.7"
"Ansonia School District","900901220","2009-2010","Grade 9","Percent","Suspensions","34.5"
"Ansonia School District","900901220","2009-2010","Grade 10","Percent","Suspensions","25.8"
"Ansonia School District","900901220","2009-2010","Grade 11","Percent","Suspensions","19.6"
"Ansonia School District","900901220","2009-2010","Grade 12","Percent","Suspensions","17.3"
"Ansonia School District","900901220","2010-2011","Kindergarten","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2010-2011","Grade 1","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2010-2011","Grade 2","Percent","Suspensions","3.5"
"Ansonia School District","900901220","2010-2011","Grade 3","Percent","Suspensions","3.2"
"Ansonia School District","900901220","2010-2011","Grade 4","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2010-2011","Grade 5","Percent","Suspensions","6.2"
"Ansonia School District","900901220","2010-2011","Grade 6","Percent","Suspensions","5.0"
"Ansonia School District","900901220","2010-2011","Grade 7","Percent","Suspensions","10.9"
"Ansonia School District","900901220","2010-2011","Grade 8","Percent","Suspensions","17.5"
"Ansonia School District","900901220","2010-2011","Grade 9","Percent","Suspensions","33.6"
"Ansonia School District","900901220","2010-2011","Grade 10","Percent","Suspensions","23.0"
"Ansonia School District","900901220","2010-2011","Grade 11","Percent","Suspensions","13.9"
"Ansonia School District","900901220","2010-2011","Grade 12","Percent","Suspensions","14.3"
"Ansonia School District","900901220","2011-2012","Kindergarten","Percent","Suspensions","-6666"
"Ansonia School District","900901220","2011-2012","Grade 1","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2011-2012","Grade 2","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2011-2012","Grade 3","Percent","Suspensions","5.6"
"Ansonia School District","900901220","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2011-2012","Grade 5","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2011-2012","Grade 6","Percent","Suspensions","4.6"
"Ansonia School District","900901220","2011-2012","Grade 7","Percent","Suspensions","11.3"
"Ansonia School District","900901220","2011-2012","Grade 8","Percent","Suspensions","7.7"
"Ansonia School District","900901220","2011-2012","Grade 9","Percent","Suspensions","33.2"
"Ansonia School District","900901220","2011-2012","Grade 10","Percent","Suspensions","27.0"
"Ansonia School District","900901220","2011-2012","Grade 11","Percent","Suspensions","18.0"
"Ansonia School District","900901220","2011-2012","Grade 12","Percent","Suspensions","15.9"
"Ansonia School District","900901220","2012-2013","Kindergarten","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2012-2013","Grade 1","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2012-2013","Grade 2","Percent","Suspensions","-6666"
"Ansonia School District","900901220","2012-2013","Grade 3","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2012-2013","Grade 4","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2012-2013","Grade 5","Percent","Suspensions","3.3"
"Ansonia School District","900901220","2012-2013","Grade 6","Percent","Suspensions","2.8"
"Ansonia School District","900901220","2012-2013","Grade 7","Percent","Suspensions","23.8"
"Ansonia School District","900901220","2012-2013","Grade 8","Percent","Suspensions","22.6"
"Ansonia School District","900901220","2012-2013","Grade 9","Percent","Suspensions","22.5"
"Ansonia School District","900901220","2012-2013","Grade 10","Percent","Suspensions","23.3"
"Ansonia School District","900901220","2012-2013","Grade 11","Percent","Suspensions","14.2"
"Ansonia School District","900901220","2012-2013","Grade 12","Percent","Suspensions","9.8"
"Ansonia School District","900901220","2013-2014","Kindergarten","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2013-2014","Grade 1","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2013-2014","Grade 2","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2013-2014","Grade 3","Percent","Suspensions","-6666"
"Ansonia School District","900901220","2013-2014","Grade 4","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2013-2014","Grade 5","Percent","Suspensions","3.9"
"Ansonia School District","900901220","2013-2014","Grade 6","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2013-2014","Grade 7","Percent","Suspensions","24.8"
"Ansonia School District","900901220","2013-2014","Grade 8","Percent","Suspensions","31.6"
"Ansonia School District","900901220","2013-2014","Grade 9","Percent","Suspensions","11.1"
"Ansonia School District","900901220","2013-2014","Grade 10","Percent","Suspensions","11.0"
"Ansonia School District","900901220","2013-2014","Grade 11","Percent","Suspensions","9.7"
"Ansonia School District","900901220","2013-2014","Grade 12","Percent","Suspensions","9.4"
"Ansonia School District","900901220","2014-2015","Kindergarten","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2014-2015","Grade 1","Percent","Suspensions","-9999"
"Ansonia School District","900901220","2014-2015","Grade 2","Percent","Suspensions","-6666"
"Ansonia School District","900901220","2014-2015","Grade 3","Percent","Suspensions","-6666"
